filename,ipc2014-agl-jasper:default,ipc2014-agl-mpc:default,ipc2014-agl-probe:default,ipc2018-agl-freelunch-madagascar:default,ipc2018-agl-mercury2014:agl,ipc2018-agl-merwin:agl,ipc2018-agl-olcff:default,ipc2018-agl-saarplan:default,ipc2018-lapkt-bfws:bfws-pref-agl,ipc2018-lapkt-bfws:dual-bfws-agl,ipc2018-lapkt-bfws:poly-bfws,ipc2018-lapkt-dfs-plus:default
assembly-adl:0-prob02.pddl,0.65544,0.422579,0.360544,1.13452,-,-,-,-,-,-,-,-
assembly-adl:0-prob03.pddl,0.77907,0.349819,0.35068,1.07815,-,-,-,-,-,-,-,-
assembly-adl:0-prob04.pddl,0.818317,0.456099,0.413552,0.985971,-,-,-,-,-,-,-,-
assembly-adl:0-prob05.pddl,0.648196,0.432076,0.403136,1.5169,-,-,-,-,-,-,-,-
assembly-adl:0-prob06.pddl,0.887781,0.425643,0.330531,-,-,-,-,-,-,-,-,-
assembly-adl:0-prob07.pddl,0.991389,0.472417,0.417507,2.24672,-,-,-,-,-,-,-,-
assembly-adl:0-prob08.pddl,0.829171,0.480847,0.361845,-,-,-,-,-,-,-,-,-
assembly-adl:0-prob09.pddl,0.662436,0.60632,0.367534,-,-,-,-,-,-,-,-,-
assembly-adl:0-prob10.pddl,0.774326,0.570984,0.447746,-,-,-,-,-,-,-,-,-
assembly-adl:0-prob11.pddl,0.752314,0.705404,0.421795,-,-,-,-,-,-,-,-,-
assembly-adl:0-prob12.pddl,0.823225,0.679323,0.465822,-,-,-,-,-,-,-,-,-
assembly-adl:0-prob13.pddl,0.889388,0.549525,0.459655,-,-,-,-,-,-,-,-,-
assembly-adl:0-prob14.pddl,0.81353,0.544717,0.43689,-,-,-,-,-,-,-,-,-
assembly-adl:0-prob15.pddl,0.931341,0.853773,0.508173,-,-,-,-,-,-,-,-,-
assembly-adl:0-prob16.pddl,0.922476,0.961532,0.562313,-,-,-,-,-,-,-,-,-
assembly-adl:0-prob17.pddl,0.969836,0.882239,0.572972,-,-,-,-,-,-,-,-,-
assembly-adl:0-prob18.pddl,1.02131,1.06389,0.52836,49.2704,-,-,-,-,-,-,-,-
assembly-adl:0-prob19.pddl,1.09477,0.834489,0.494645,-,-,-,-,-,-,-,-,-
assembly-adl:0-prob20.pddl,0.954927,1.33426,0.554957,-,-,-,-,-,-,-,-,-
assembly-adl:0-prob21.pddl,0.940465,1.5073,0.559696,-,-,-,-,-,-,-,-,-
assembly-adl:0-prob22.pddl,0.90737,1.55664,0.549836,-,-,-,-,-,-,-,-,-
assembly-adl:0-prob23.pddl,1.1467,3.03929,0.575131,-,-,-,-,-,-,-,-,-
assembly-adl:0-prob24.pddl,1.19265,3.44085,0.609146,-,-,-,-,-,-,-,-,-
assembly-adl:0-prob25.pddl,1.13804,1.99088,0.736125,-,-,-,-,-,-,-,-,-
assembly-adl:0-prob26.pddl,1.24143,2.39203,0.767624,-,-,-,-,-,-,-,-,-
assembly-adl:0-prob27.pddl,1.42342,11.9206,0.727735,-,-,-,-,-,-,-,-,-
assembly-adl:0-prob28.pddl,1.19474,2.48033,0.689621,-,-,-,-,-,-,-,-,-
assembly-adl:0-prob29.pddl,1.15775,3.26139,0.713956,-,-,-,-,-,-,-,-,-
assembly-adl:0-prob30.pddl,1.2412,7.8495,0.732089,-,-,-,-,-,-,-,-,-
barman-strips:1-p08.pddl,11.8919,-,-,-,9.93837,39.5055,257.965,233.438,-,-,-,-
barman-strips:1-p10.pddl,16.7362,-,-,-,16.93,22.9398,-,244.639,-,-,-,-
barman-strips:1-p11.pddl,30.7796,-,-,-,27.3512,181.628,-,262.034,-,-,-,-
barman-strips:1-p12.pddl,30.3629,-,-,-,33.3442,61.0816,-,277.502,-,-,-,-
barman-strips:1-p13.pddl,47.0371,-,-,-,121.383,285.379,-,271.83,-,-,-,-
barman-strips:1-p14.pddl,56.9966,-,-,-,70.7683,-,-,265.697,-,-,-,-
barman-strips:1-p15.pddl,101.751,-,-,-,87.9061,-,-,297.839,-,-,-,-
barman-strips:1-p16.pddl,68.5607,-,-,-,99.0143,158.689,-,-,-,-,-,-
barman-strips:1-p17.pddl,118.588,-,-,-,127.075,-,-,-,-,-,-,-
barman-strips:1-p18.pddl,86.723,-,-,-,154.07,296.296,-,-,-,-,-,-
barman-strips:1-p19.pddl,156.074,-,-,-,189.407,282.281,-,-,-,-,-,-
barman-strips:1-p20.pddl,63.095,-,-,-,-,-,-,-,-,-,-,-
barman-strips:1-p21.pddl,55.5356,-,-,-,-,-,-,-,-,-,-,-
barman-strips:1-p22.pddl,69.8156,-,-,-,-,161.775,-,-,-,-,-,260.876
barman-strips:1-p23.pddl,-,-,-,-,-,183.387,-,-,-,-,-,-
barman-strips:1-p24.pddl,117.659,-,-,-,-,265.145,-,-,-,-,-,-
barman-strips:1-p25.pddl,-,-,-,-,-,196.303,-,-,-,-,-,258.967
barman-strips:1-p26.pddl,110.381,-,-,-,-,248.253,-,-,-,-,-,-
barman-strips:1-p28.pddl,142.403,-,-,-,-,146.451,-,247.206,-,-,-,-
barman-strips:1-p29.pddl,252.468,-,-,-,-,-,-,266.114,-,-,-,-
barman-strips:1-p30.pddl,167.891,-,-,-,-,-,-,-,-,-,-,-
barman-strips:2-p3-11-5-15.pddl,4.81763,-,28.1524,-,2.65786,4.8885,12.7829,11.4834,5.09314,38.0974,7.3101,21.0783
barman-strips:2-p3-11-5-17.pddl,182.838,-,1.46343,-,-,21.4229,227.759,-,4.50013,93.5013,7.71479,11.5375
barman-strips:2-p4-11-4-15.pddl,3.96573,-,0.617619,-,-,6.97211,53.7225,110.541,2.51752,7.13124,4.79112,5.16795
barman-strips:2-p4-11-5-15.pddl,5.13235,-,0.855902,-,84.4114,7.70562,186.645,51.48,3.25432,33.4582,6.60972,4.13559
barman-strips:4-p1-11-4-15.pddl,4.77488,-,5.27107,-,2.37286,3.72325,52.4661,17.2924,2.437,27.7657,3.25416,10.0354
barman-strips:6-pfile09-036.pddl,5.14274,-,1.6997,-,2.92156,9.50699,20.2418,19.2097,3.43991,28.2952,2.82024,8.83308
barman-strips:6-pfile10-038.pddl,3.90483,-,0.87745,-,2.51977,7.81473,185.784,108.54,2.71008,27.0512,3.62971,3.42697
barman-strips:6-pfile10-040.pddl,4.18908,-,0.927194,-,-,6.14091,11.3167,104.688,3.24424,29.3943,4.5784,5.57889
blocksworld-strips:0-p15.pddl,0.723968,2.63661,0.482753,21.8591,0.663434,0.698409,0.779136,0.845388,0.471582,4.17267,2.46843,0.823137
blocksworld-strips:0-p16.pddl,0.938906,1.75821,0.515763,20.6521,0.637042,1.17818,0.825662,0.87967,2.17791,6.58364,4.1603,0.859358
blocksworld-strips:0-p29.pddl,0.907489,5.22403,0.512743,15.7162,0.613288,0.807298,0.833038,0.757123,0.495835,1.25329,5.2536,0.725997
blocksworld-strips:0-p30.pddl,0.85468,0.828574,0.446878,37.6158,0.722329,0.872006,0.816661,0.776544,2.44979,1.41098,2.58397,0.592677
blocksworld-strips:1-p05.pddl,1.17523,48.8041,0.925286,-,0.875386,1.01815,1.42335,1.41606,0.765976,0.675784,0.645093,1.25071
blocksworld-strips:1-p06.pddl,1.5557,60.6957,1.40286,-,1.59903,1.65566,2.13409,2.00352,30.7172,16.4144,14.0092,0.938395
blocksworld-strips:1-p07.pddl,2.66717,241.104,2.71935,-,2.34339,5.66955,3.41379,3.36848,-,229.434,-,58.5339
blocksworld-strips:1-p08.pddl,2.29938,-,3.72558,-,2.55359,3.78398,5.42061,4.83355,-,-,-,39.4155
blocksworld-strips:1-p09.pddl,3.46833,-,5.62598,-,3.97128,5.3789,6.11081,6.21157,-,-,-,46.3945
blocksworld-strips:1-p10.pddl,4.67963,-,8.82882,-,4.87407,9.49529,8.37482,8.52547,-,4.50273,5.02236,48.8267
blocksworld-strips:1-p11.pddl,-,-,22.8681,-,-,40.9795,18.5835,19.582,-,-,-,215.744
blocksworld-strips:1-p12.pddl,7.15174,-,28.059,-,6.70038,17.9004,18.4096,16.3654,-,18.126,18.433,-
blocksworld-strips:1-p13.pddl,9.65238,-,36.7135,-,35.7348,21.204,31.6807,21.9413,-,-,-,-
blocksworld-strips:1-p14.pddl,-,-,53.2478,-,40.2432,51.5181,53.6016,27.8676,-,-,-,-
blocksworld-strips:1-p15.pddl,-,-,78.1531,-,47.5764,47.4835,43.538,37.0846,-,-,-,-
blocksworld-strips:1-p16.pddl,-,-,119.485,-,72.6449,149.783,60.3611,48.5847,-,-,-,-
blocksworld-strips:1-p17.pddl,-,-,144.171,-,-,151.675,71.315,26.6881,-,-,-,-
blocksworld-strips:1-p18.pddl,-,-,238.153,-,94.1281,120.135,69.6493,81.3075,-,-,-,-
blocksworld-strips:1-p19.pddl,-,-,-,-,-,272.673,96.5908,66.6378,-,-,-,-
blocksworld-strips:1-p20.pddl,59.5529,-,-,-,-,170.797,100.21,78.4623,-,-,-,-
blocksworld-strips:1-p21.pddl,-,-,-,-,245.34,-,70.9221,53.4923,-,-,-,-
blocksworld-strips:1-p22.pddl,-,-,-,-,-,-,139.092,-,-,-,-,-
blocksworld-strips:1-p23.pddl,79.4636,-,-,-,-,-,136.121,101.025,-,-,-,-
blocksworld-strips:1-p24.pddl,128.199,-,-,-,-,-,-,-,-,-,-,-
blocksworld-strips:1-p25.pddl,137.874,-,-,-,-,-,-,-,-,-,-,-
blocksworld-strips:1-p28.pddl,254.073,-,-,-,-,-,-,-,-,-,-,-
blocksworld-strips:2-probBLOCKS-13-1.pddl,0.577104,0.391627,0.384578,0.778092,0.645457,0.539335,0.625436,0.658648,0.581365,0.531327,0.690635,0.417466
blocksworld-strips:2-probBLOCKS-15-1.pddl,0.757352,0.545607,0.376207,1.0294,0.618598,0.623962,0.673087,0.849277,0.408809,1.60805,0.936267,0.510111
blocksworld-strips:2-probBLOCKS-16-2.pddl,1.36363,0.592974,0.456409,1.36497,0.659154,0.957754,0.70407,0.744787,1.52588,1.94358,0.891943,0.521578
blocksworld-strips:2-probBLOCKS-17-0.pddl,1.22532,5.80117,0.469359,1.89957,0.715485,0.683008,0.802257,0.805476,1.49035,2.45484,1.31452,0.633053
caldera-adl:0-p05.pddl,1.49595,-,1.24249,-,-,-,1.83849,1.80898,1.15421,1.04681,1.05631,1.09041
caldera-adl:0-p06.pddl,2.07295,-,1.00294,-,-,-,-,-,1.52521,1.47163,1.46192,1.44866
caldera-adl:0-p07.pddl,1.16616,6.56125,0.555967,15.0927,-,-,1.43294,1.51043,0.834125,0.848558,0.796783,0.854314
caldera-adl:0-p09.pddl,5.90163,-,1.75845,-,-,-,49.3351,49.6857,3.4928,3.13021,3.12452,3.37196
caldera-adl:0-p10.pddl,2.16575,12.0279,0.779921,28.8263,-,-,2.47178,2.68857,1.25478,1.08563,1.08679,1.2109
caldera-adl:0-p11.pddl,4.38967,-,1.7661,-,-,-,37.1776,35.8533,3.20432,2.79205,2.71009,3.14995
caldera-adl:0-p12.pddl,3.82928,-,1.65087,-,-,-,4.9233,4.96735,3.51004,2.41851,2.37481,47.4001
caldera-adl:0-p13.pddl,5.66847,-,1.83395,-,-,-,7.70238,7.56898,3.56373,2.83778,2.77693,3.25407
caldera-adl:0-p14.pddl,7.94866,-,5.63834,-,-,-,11.0918,10.6847,7.23027,6.09562,5.92918,274.551
caldera-adl:0-p15.pddl,9.59624,-,5.66384,-,-,-,13.7214,14.0046,8.88143,7.14372,7.26209,7.60119
caldera-adl:0-p16.pddl,9.14564,-,3.7311,-,-,-,12.3156,12.2491,5.98815,4.83812,4.88451,5.43072
caldera-adl:0-p17.pddl,20.9401,-,21.3007,-,-,-,31.2075,33.1986,21.33,16.7107,16.4079,141.215
caldera-adl:0-p18.pddl,15.913,-,10.0892,-,-,-,23.4133,24.1128,12.5953,9.29306,9.20069,11.0505
caldera-adl:0-p19.pddl,19.9178,-,15.9247,-,-,-,30.7313,30.3652,14.6737,10.3358,10.4913,12.9689
caldera-adl:0-p20.pddl,13.4766,-,7.08127,-,-,-,20.2473,20.1527,8.44168,6.85606,6.89974,8.60013
caldera-adl:1-p01.pddl,1.4954,6.69482,0.619391,15.1837,-,-,1.76049,1.77278,0.860432,0.819105,0.8098,0.896525
caldera-adl:1-p02.pddl,1.15624,6.64685,0.597308,15.2785,-,-,1.60492,1.62077,0.7587,0.748032,0.747391,0.806554
caldera-adl:1-p03.pddl,3.0164,-,1.64306,-,-,-,3.92929,4.0165,2.49929,2.00829,2.0871,3.66931
caldera-adl:1-p04.pddl,4.33451,-,1.99647,-,-,-,5.68933,5.87469,3.14755,2.81428,2.85504,2.9586
caldera-adl:1-p05.pddl,7.82448,-,3.58268,-,-,-,11.3592,11.4917,5.40072,4.04889,4.21976,4.8708
caldera-adl:1-p06.pddl,6.06175,-,2.49476,-,-,-,8.0341,8.16036,3.96612,3.30243,3.23926,3.71486
caldera-adl:1-p07.pddl,25.0944,-,32.2484,-,-,-,38.611,38.9877,25.8448,19.2646,19.2932,-
caldera-adl:1-p08.pddl,31.4397,-,35.8143,-,-,-,110.749,116.284,30.2737,22.3152,22.1124,25.7428
caldera-adl:1-p09.pddl,56.9441,-,-,-,-,-,97.2934,99.0688,53.8698,44.4656,43.5451,52.1527
caldera-adl:1-p10.pddl,27.7975,-,26.3142,-,-,-,48.9249,47.7826,21.8486,14.6929,14.667,19.7109
caldera-adl:1-p11.pddl,97.2356,-,-,-,-,-,164.622,168.344,107.94,60.0367,60.5676,79.571
caldera-adl:1-p12.pddl,204.39,-,-,-,-,-,-,-,248.292,166.264,169.654,235.389
caldera-adl:1-p13.pddl,173.33,-,-,-,-,-,-,-,199.383,116.859,116.976,-
caldera-adl:1-p14.pddl,291.203,-,-,-,-,-,-,-,-,237.188,269.706,-
caldera-adl:1-p16.pddl,-,-,-,-,-,-,-,-,-,-,294.38,-
caldera-split-adl:0-p02.pddl,1.92398,0.28662,0.523972,0.55526,-,-,1.81719,2.16172,0.456572,0.412476,0.464508,0.482015
caldera-split-adl:0-p03.pddl,1.87435,0.323559,0.452977,0.454164,-,-,2.16453,2.58424,0.470615,0.424778,0.433237,0.452265
caldera-split-adl:0-p04.pddl,1.64302,0.359124,0.48399,0.612417,-,-,2.15329,1.98905,0.490699,0.480563,0.515668,0.437212
caldera-split-adl:0-p05.pddl,3.22951,0.64574,17.3677,2.88718,-,-,3.17281,3.43405,-,1.28378,6.18151,-
caldera-split-adl:0-p06.pddl,2.43001,1.46231,22.6311,6.83322,-,-,-,-,-,1.16153,13.0726,-
caldera-split-adl:0-p07.pddl,2.43379,0.554526,0.776473,7.22158,-,-,27.3002,26.8469,-,0.770857,5.41304,78.3184
caldera-split-adl:0-p09.pddl,2.65876,1.07877,-,-,-,-,52.3084,50.2775,-,5.10456,141.442,-
caldera-split-adl:0-p10.pddl,2.79726,0.800437,-,246.358,-,-,2.06166,2.0567,-,2.41094,74.6227,256.244
caldera-split-adl:0-p11.pddl,3.38669,3.93496,-,-,-,-,60.989,51.2557,-,2.30731,-,-
caldera-split-adl:0-p12.pddl,3.24306,6.76928,-,163.447,-,-,4.78786,6.98464,1.84205,2.4764,145.182,-
caldera-split-adl:0-p13.pddl,3.2279,1.41871,-,-,-,-,2.83076,2.7367,3.78519,21.4392,-,274.831
