filename,ipc2014-opt-symba1:default,ipc2018-decstar:opt-config00,ipc2018-decstar:opt-config01,ipc2018-decstar:opt-config02,ipc2018-decstar:opt-config03,ipc2018-decstar:opt-config04,ipc2018-decstar:opt-config05,ipc2018-decstar:opt-config06,ipc2018-opt-complementary2:default,ipc2018-opt-delfi:h2-simpless-dks-900masb50ksbmiasm,ipc2018-opt-delfi:h2-simpless-dks-900masb50ksccdfp,ipc2018-opt-delfi:h2-simpless-dks-900masginfsccdfp,ipc2018-opt-delfi:h2-simpless-dks-blind,ipc2018-opt-delfi:h2-simpless-dks-celmcut,ipc2018-opt-delfi:h2-simpless-dks-cpdbshc900,ipc2018-opt-delfi:h2-simpless-dks-zopdbsgenetic,ipc2018-opt-delfi:h2-simpless-oss-900masb50ksbmiasm,ipc2018-opt-delfi:h2-simpless-oss-900masb50ksccdfp,ipc2018-opt-delfi:h2-simpless-oss-blind,ipc2018-opt-delfi:h2-simpless-oss-celmcut,ipc2018-opt-delfi:h2-simpless-oss-cpdbshc900,ipc2018-opt-delfi:h2-simpless-oss-masginfsccdfp,ipc2018-opt-delfi:h2-simpless-oss-zopdbsgenetic,ipc2018-opt-delfi:simpless-dks-masb50kmiasmdfp,ipc2018-opt-delfi:simpless-oss-masb50kmiasmdfp,ipc2018-opt-metis:metis2,ipc2018-opt-planning-pdbs:default,ipc2018-opt-scorpion:default,ipc2018-symple1:symple100000OPT,ipc2018-symple2:symple100000OPT
airport-strips:0-p02.pddl,33.6835,-,-,9.71626,12.6671,559.097,9.01174,9.03913,194.905,915.148,369.211,192.957,11.7468,8.9701,10.2092,10.8249,939.603,444.332,11.9162,9.31352,11.7508,188.39,10.7005,913.868,922.912,8.98024,196.398,272.868,-,-
airport-strips:0-p03.pddl,308.559,-,-,14.6223,149.015,1321.17,14.6379,34.9011,606.695,1075.35,866.841,567.011,143.234,14.4782,19.5202,97.8308,1024.27,913.957,148.935,16.6408,19.7575,564.759,96.6936,-,-,16.9566,578.261,331.686,-,-
airport-strips:0-p04.pddl,875.37,-,-,26.7173,27.8381,1719.24,23.3772,58.5954,764.836,1053.03,826.622,539.642,537.952,20.1129,39.1124,90.85,1250.39,947.646,542.535,18.7989,40.485,545.191,92.0489,-,-,19.3194,646.421,350.764,-,-
airport-strips:0-p05.pddl,-,-,-,38.1121,-,-,39.3025,-,-,-,-,-,-,796.77,312.375,-,-,-,-,778.091,321.223,-,-,-,-,32.7864,-,595.804,-,-
airport-strips:0-p06.pddl,-,-,-,68.7575,-,-,125.485,-,-,-,-,-,-,60.7492,-,-,-,-,-,55.5502,-,-,-,-,-,52.2358,-,654.874,-,-
airport-strips:0-p07.pddl,-,-,-,777.272,-,-,60.3153,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60.043,-,1082.56,-,-
airport-strips:0-p08.pddl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86.9193,-,1432.04,-,-
airport-strips:0-p09.pddl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,122.772,-,-,-,-
airport-strips:0-p10.pddl,-,-,-,-,-,-,117.188,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,116.346,-,1618.47,-,-
airport-strips:0-p11.pddl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,179.157,-,-,-,-
airport-strips:0-p12.pddl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,223.001,-,-,-,-
airport-strips:0-p13.pddl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,201.312,-,-,-,-
airport-strips:0-p14.pddl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,286.009,-,-,-,-
airport-strips:0-p15.pddl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,346.098,-,-,-,-
airport-strips:0-p16.pddl,64.7725,-,-,13.2002,12.9089,-,13.3232,12.9313,560.735,913.989,918.526,916.493,12.9912,12.9482,19.8034,13.1768,947.573,914.451,13.7462,13.1121,20.0827,914.498,12.8634,960.087,913.763,13.5179,315.085,247.89,-,-
airport-strips:0-p17.pddl,363.801,-,-,93.3704,45.3112,-,45.718,63.1696,757.269,997.984,993.347,1035.1,206.314,83.9034,82.6912,42.2088,1028.59,1000.64,202.457,81.0393,79.7616,1040.17,46.0028,-,-,85.1298,710.831,329.734,-,-
airport-strips:0-p18.pddl,334.052,-,-,101.213,43.6468,-,47.6594,44.6197,859.596,989.865,989.379,992.667,182.996,89.1281,66.5071,40.6891,1003.21,982.972,183.72,87.7607,66.0902,994.486,44.6335,1246.15,1289.04,101.393,630.879,334.889,-,-
